user_id,f_name,l_name,age,email,mobile,city_of_residence,country_of_residence,number_of_trips,places_visited,recently_visited_place,username
1,Keya,Kurian,49,keya.kurian613@example.com,5732223975,Delhi,India,1,Goa,Goa,keya_kurian
2,Tarini,Barad,53,tarini.barad373@example.com,1120125717,Ahmedabad,India,3,"Dubai, London, Goa",Dubai,tarini_barad
3,Samaira,Korpal,24,samaira.korpal817@example.com,1750352662,Bengaluru,India,5,"Dubai, Jaipur, Rome, Mysore",Jaipur,samaira_korpal
4,Ryan,Gandhi,21,ryan.gandhi335@example.com,4272696105,Kolkata,India,1,Tokyo,Tokyo,ryan_gandhi
5,Parinaaz,Ramesh,36,parinaaz.ramesh345@example.com,6410414702,Bengaluru,India,3,"Paris, Manali, Kerala",Paris,parinaaz_ramesh
6,Nitara,Sekhon,54,nitara.sekhon925@example.com,6587887721,Hyderabad,India,6,"London, Singapore, Rome, Sydney, Shimla",Shimla,nitara_sekhon
7,Saksham,Hari,57,saksham.hari799@example.com,9341774591,Mumbai,India,2,"Tokyo, Sydney",Tokyo,saksham_hari
8,Darshit,Kibe,26,darshit.kibe352@example.com,6223720914,Bengaluru,India,1,Varanasi,Varanasi,darshit_kibe
9,Tejas,Samra,23,tejas.samra702@example.com,362871054,Kolkata,India,3,"Dubai, London, Bali",London,tejas_samra
10,Urvi,Amble,22,urvi.amble879@example.com,7149435590,Bengaluru,India,5,"London, Jaipur, Kerala, Bangkok",Kerala,urvi_amble
11,Sahil,Jhaveri,63,sahil.jhaveri751@example.com,1257321108,Hyderabad,India,2,"Tokyo, Sydney",Tokyo,sahil_jhaveri
12,Purab,Goda,32,purab.goda663@example.com,8260538635,Chandigarh,India,3,"New York, Rome, Bangkok",Bangkok,purab_goda
13,Aarna,Madan,34,aarna.madan704@example.com,6731865131,Pune,India,2,"Tokyo, Singapore",Tokyo,aarna_madan
14,Sumer,Tiwari,63,sumer.tiwari279@example.com,9828696750,Kolkata,India,1,Bali,Bali,sumer_tiwari
15,Sana,Saha,24,sana.saha698@example.com,2078398437,Ahmedabad,India,2,"New York, Manali",New York,sana_saha
16,Lagan,Barman,30,lagan.barman176@example.com,6692102701,Chandigarh,India,4,"Dubai, Singapore, Manali, Jaipur",Singapore,lagan_barman
17,Samarth,Saraf,42,samarth.saraf19@example.com,8623134183,Jaipur,India,4,"Dubai, Singapore, Shimla",Dubai,samarth_saraf
18,Tejas,Bhatia,26,tejas.bhatia759@example.com,453691074,Bengaluru,India,1,Jaipur,Jaipur,tejas_bhatia
19,Sana,Iyengar,20,sana.iyengar398@example.com,1627328938,Pune,India,1,Paris,Paris,sana_iyengar
20,Shalv,Ratta,34,shalv.ratta855@example.com,4957040120,Chandigarh,India,2,"New York, Leh",New York,shalv_ratta
21,Gokul,Kanda,40,gokul.kanda908@example.com,9974748965,Pune,India,5,"Dubai, Jaipur, Manali, Leh",Dubai,gokul_kanda
22,Yuvaan,Subramaniam,35,yuvaan.subramaniam797@example.com,4611976870,Hyderabad,India,1,Rishikesh,Rishikesh,yuvaan_subramaniam
23,Aarna,Raja,22,aarna.raja742@example.com,7070296542,Delhi,India,4,"Singapore, Manali, Agra, Rishikesh",Agra,aarna_raja
24,Ishita,Golla,32,ishita.golla154@example.com,5298806359,Bengaluru,India,1,New York,New York,ishita_golla
